"","pathways","X2-score","X2_p-value"
"1","BIOCARTA_AGR_PATHWAY",115.10145681107,0
"2","BIOCARTA_BCR_PATHWAY",179.582623939812,0
"3","BIOCARTA_CSK_PATHWAY",5.21023418928678,9.61593582494248e-08
"4","BIOCARTA_CTLA4_PATHWAY",6.11655694637596,4.89927677635037e-10
"5","BIOCARTA_EGF_PATHWAY",198.558714332497,0
"6","BIOCARTA_FCER1_PATHWAY",139.285147062775,0
"7","BIOCARTA_HIVNEF_PATHWAY",197.26099529814,0
"8","BIOCARTA_IL17_PATHWAY",2.44536781899129,0.00723522402209209
"9","BIOCARTA_NFAT_PATHWAY",101.180473230622,0
"10","BIOCARTA_PDGF_PATHWAY",198.558714332497,0
"11","BIOCARTA_TCAPOPTOSIS_PATHWAY",2.64835042264299,0.00406391414846852
"12","BIOCARTA_TCR_PATHWAY",118.588063633463,0
"13","BIOCARTA_THELPER_PATHWAY",2.64835042264299,0.00406391414846852
"14","BIOCARTA_TNFR1_PATHWAY",174.225709597545,0
"15","KEGG_ABC_TRANSPORTERS",233.943716148938,0
"16","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",324.985765850625,0
"17","KEGG_ALZHEIMERS_DISEASE",234.425787982111,0
"18","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",158.483624506138,0
"19","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",208.548983112695,0
"20","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",296.920579060728,0
"21","KEGG_APOPTOSIS",177.839149054421,0
"22","KEGG_ARACHIDONIC_ACID_METABOLISM",222.737480729767,0
"23","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",97.1942013029963,0
"24","KEGG_AUTOIMMUNE_THYROID_DISEASE",148.706886092509,0
"25","KEGG_AXON_GUIDANCE",214.83638931669,0
"26","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",118.060537121055,0
"27","KEGG_CALCIUM_SIGNALING_PATHWAY",190.171717122022,0
"28","KEGG_CARDIAC_MUSCLE_CONTRACTION",234.623853574698,0
"29","KEGG_CELL_ADHESION_MOLECULES_CAMS",215.723015827327,0
"30","KEGG_CELL_CYCLE",223.582379134054,0
"31","KEGG_CHEMOKINE_SIGNALING_PATHWAY",141.990698812178,0
"32","KEGG_CITRATE_CYCLE_TCA_CYCLE",263.492930969416,0
"33","KEGG_COLORECTAL_CANCER",138.689661589491,0
