"","pathways","z-score","Z_p-value","X2-score","X2_p-value"
"1","BIOCARTA_ACH_PATHWAY",2.72601031323519,0.00349914086100295,246.999327195983,0
"2","BIOCARTA_AGR_PATHWAY",0.622971611093909,0.276823583979047,115.101456806608,0
"3","BIOCARTA_AKT_PATHWAY",27.8313340002983,1.6363088673863e-170,172.991007548784,0
"4","BIOCARTA_AMI_PATHWAY",6.66138076545116,1.70548946421273e-11,320.855525321031,0
"5","BIOCARTA_BCR_PATHWAY",17.11205319629,0,179.582623936333,0
"6","BIOCARTA_BIOPEPTIDES_PATHWAY",28.9971671656116,6.60608466352378e-185,167.50290776474,0
"7","BIOCARTA_CASPASE_PATHWAY",16.7117748155153,0,123.383057649295,0
"8","BIOCARTA_CERAMIDE_PATHWAY",23.4588244578999,9.17784341048653e-122,222.369516911118,0
"9","BIOCARTA_CHREBP2_PATHWAY",11.6821712895215,0,480.547843890581,0
"10","BIOCARTA_CSK_PATHWAY",42.4002621755286,0,5.21023418968148,1.00080110176864e-07
"11","BIOCARTA_CTCF_PATHWAY",14.5424158765369,0,310.20429263965,0
"12","BIOCARTA_CTL_PATHWAY",31.7059083197441,0,4.8763259297157,5.70338926438452e-07
"13","BIOCARTA_CTLA4_PATHWAY",37.1956229872363,0,6.11655694702678,5.10234427071377e-10
"14","BIOCARTA_DEATH_PATHWAY",14.4637744857178,0,107.901653874193,0
"15","BIOCARTA_EGF_PATHWAY",0.12936300864611,0.450902148667714,198.558714329833,0
"16","BIOCARTA_EIF4_PATHWAY",15.4854569818495,3.30119685479353e-54,185.480629110965,0
"17","BIOCARTA_EXTRINSIC_PATHWAY",4.58834515500768,2.57910166172906e-06,374.260243597963,0
"18","BIOCARTA_FAS_PATHWAY",5.57001555016047,1.53071017407099e-08,137.278880639375,0
"19","BIOCARTA_FCER1_PATHWAY",3.42850165380012,0.000336101164472609,139.285147059046,0
"20","BIOCARTA_FIBRINOLYSIS_PATHWAY",3.4402960054967,0.000322727156325538,271.260929922984,0
"21","BIOCARTA_GH_PATHWAY",14.6960244013514,0,91.5916378068243,0
"22","BIOCARTA_GLEEVEC_PATHWAY",5.15869347821299,1.47122229855323e-07,110.673883189045,0
"23","BIOCARTA_GSK3_PATHWAY",24.9826965140789,8.12624641157453e-138,258.962015842677,0
"24","BIOCARTA_HDAC_PATHWAY",23.5762883956426,0,2.77140112112759,0.00286600428471692
"25","BIOCARTA_HIVNEF_PATHWAY",2.99058208550128,0.00152425334492488,197.260995296027,0
"26","BIOCARTA_IGF1_PATHWAY",9.35997601496257,0,149.901165104555,0
"27","BIOCARTA_IGF1MTOR_PATHWAY",24.9826965140789,8.12624641157453e-138,258.962015842677,0
"28","BIOCARTA_IL12_PATHWAY",20.3394778949586,0,135.462657294364,0
"29","BIOCARTA_IL17_PATHWAY",39.8467361194561,0,2.44536781932271,0.00737064264674759
"30","BIOCARTA_IL7_PATHWAY",9.54970208518709,0,242.455655345648,0
"31","BIOCARTA_INSULIN_PATHWAY",9.35997601496257,0,149.901165104555,0
"32","BIOCARTA_INTRINSIC_PATHWAY",6.66138076545116,1.70548946421273e-11,320.855525321031,0
"33","BIOCARTA_KERATINOCYTE_PATHWAY",41.7646711362159,0,36.0944319898099,0
"34","BIOCARTA_MET_PATHWAY",5.52084649170586,2.0210397941323e-08,233.1158944812,0
"35","BIOCARTA_MITOCHONDRIA_PATHWAY",6.89721895724928,3.36743134838075e-12,212.949731609355,0
"36","BIOCARTA_MTOR_PATHWAY",24.9826965140789,8.12624641157453e-138,258.962015842677,0
"37","BIOCARTA_NDKDYNAMIN_PATHWAY",3.02797344386415,0.00135161518736116,245.448878692888,0
"38","BIOCARTA_NFAT_PATHWAY",22.2626797110258,0,101.180473228007,0
"39","BIOCARTA_NKCELLS_PATHWAY",19.8315620483614,1.29461685000225e-87,211.535369186003,0
"40","BIOCARTA_NO2IL12_PATHWAY",35.8135221641426,0,3.40206670592391,0.000345266081503376
"41","BIOCARTA_NUCLEARRS_PATHWAY",21.8443526307684,0,107.0153889612,0
"42","BIOCARTA_PAR1_PATHWAY",22.1486366212515,9.02347699336877e-109,138.804939464723,0
"43","BIOCARTA_PDGF_PATHWAY",0.12936300864611,0.450902148667714,198.558714329833,0
"44","BIOCARTA_PPARA_PATHWAY",34.5351823274619,0,21.0581759896742,0
"45","BIOCARTA_STATHMIN_PATHWAY",31.7059083197441,0,4.8763259297157,5.70338926438452e-07
"46","BIOCARTA_STRESS_PATHWAY",33.5006467648889,4.53763546324599e-246,36.4022561181292,0
"47","BIOCARTA_TCAPOPTOSIS_PATHWAY",39.3747014131864,0,2.64835042304123,0.00413102233465334
"48","BIOCARTA_TCR_PATHWAY",22.1262928506248,0,118.588063632125,0
"49","BIOCARTA_TCRA_PATHWAY",35.8135221641426,0,3.40206670592391,0.000345266081503376
"50","BIOCARTA_TCYTOTOXIC_PATHWAY",35.666854367637,0,3.5297617235807,0.000217679787619871
"51","BIOCARTA_TEL_PATHWAY",7.13884761593292,6.03729187854573e-13,407.282870769326,0
"52","BIOCARTA_TFF_PATHWAY",10.4039073096466,0,132.103352511508,0
"53","BIOCARTA_THELPER_PATHWAY",39.3747014131864,0,2.64835042304123,0.00413102233465334
"54","BIOCARTA_TNFR1_PATHWAY",13.3282872316866,1.14368373892762e-40,174.22570959665,0
"55","BIOCARTA_TOB1_PATHWAY",35.666854367637,0,3.5297617235807,0.000217679787619871
"56","ccRCC",0.415547194660085,0.344292617853187,230.469151391452,0
"57","KEGG_ABC_TRANSPORTERS",9.0524649825389,0,233.943716146866,0
"58","KEGG_ACUTE_MYELOID_LEUKEMIA",17.2173166048521,0,137.215714442522,0
"59","KEGG_ADHERENS_JUNCTION",20.3227009156517,0,270.885413515207,0
"60","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",41.6856824307656,0,29.4121124028571,0
"61","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",7.70281353502314,8.7516201182521e-15,199.236662780507,0
"62","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",14.0611058247184,4.80623098686435e-45,324.98576583995,0
"63","KEGG_ALZHEIMERS_DISEASE",6.5081905680764,4.7507189439186e-11,234.425787978256,0
"64","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",46.273350765509,0,7.77157662398524,4.19400114259956e-15
"65","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",29.6871721518383,1.04480695404052e-193,158.483624501299,0
"66","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",4.19899246168847,1.52006098568039e-05,208.548983107266,0
"67","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",9.02322154935929,0,296.920579058878,0
"68","KEGG_APOPTOSIS",23.7902902689878,0,177.839149051166,0
"69","KEGG_ARACHIDONIC_ACID_METABOLISM",26.5033659657175,0,222.73748072216,0
"70","KEGG_ARGININE_AND_PROLINE_METABOLISM",10.8852898543705,9.31641141562454e-28,171.612063069985,0
"71","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",26.7477418486636,1.156909346471e-157,97.194201301676,0
"72","KEGG_AUTOIMMUNE_THYROID_DISEASE",36.0172471184587,0,148.706886092671,0
"73","KEGG_AXON_GUIDANCE",8.55435364571705,0,214.836389312385,0
"74","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",41.9561608076769,0,118.060537119283,0
"75","KEGG_BETA_ALANINE_METABOLISM",6.01180993949962,1.12378671321788e-09,353.335553764481,0
"76","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",1.87200288132964,0.032937237375475,174.605201169584,0
"77","KEGG_BUTANOATE_METABOLISM",22.3349741949546,1.42475728055829e-110,130.903831695504,0
"78","KEGG_CALCIUM_SIGNALING_PATHWAY",2.62720758862181,0.00468569024670862,190.171717117601,0
"79","KEGG_CARDIAC_MUSCLE_CONTRACTION",37.8019231372568,0,234.623853572456,0
"80","KEGG_CELL_ADHESION_MOLECULES_CAMS",21.2426425827193,3.19358579096189e-100,215.723015829422,0
"81","KEGG_CELL_CYCLE",35.0287013950326,0,223.582379138492,0
"82","KEGG_CHEMOKINE_SIGNALING_PATHWAY",39.7811055790581,0,141.990698810449,0
"83","KEGG_CHRONIC_MYELOID_LEUKEMIA",35.6808616867683,0,26.2701320352404,0
"84","KEGG_CITRATE_CYCLE_TCA_CYCLE",1.32148503527468,0.0988794171540044,263.492930965556,0
"85","KEGG_COLORECTAL_CANCER",30.5366405314425,0,138.689661585945,0
"86","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",2.56173389896498,0.00563658564335417,274.430712973831,0
"87","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",58.9779978178222,0,152.520507321331,0
"88","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",46.9081471989614,0,32.6486527610792,0
