"","pathways","X2-score","X2_p-value"
"1","BIOCARTA_ACH_PATHWAY",246.999327195983,0
"2","BIOCARTA_AGR_PATHWAY",115.101456806608,0
"3","BIOCARTA_AKT_PATHWAY",172.991007548784,0
"4","BIOCARTA_AMI_PATHWAY",320.855525321031,0
"5","BIOCARTA_BCR_PATHWAY",179.582623936333,0
"6","BIOCARTA_BIOPEPTIDES_PATHWAY",167.50290776474,0
"7","BIOCARTA_CASPASE_PATHWAY",123.383057649295,0
"8","BIOCARTA_CERAMIDE_PATHWAY",222.369516911118,0
"9","BIOCARTA_CHREBP2_PATHWAY",480.547843890581,0
"10","BIOCARTA_CSK_PATHWAY",5.21023418968148,1.00080110176864e-07
"11","BIOCARTA_CTCF_PATHWAY",310.20429263965,0
"12","BIOCARTA_CTL_PATHWAY",4.8763259297157,5.70338926438452e-07
"13","BIOCARTA_CTLA4_PATHWAY",6.11655694702678,5.10234427071377e-10
"14","BIOCARTA_DEATH_PATHWAY",107.901653874193,0
"15","BIOCARTA_EGF_PATHWAY",198.558714329833,0
"16","BIOCARTA_EIF4_PATHWAY",185.480629110965,0
"17","BIOCARTA_EXTRINSIC_PATHWAY",374.260243597963,0
"18","BIOCARTA_FAS_PATHWAY",137.278880639375,0
"19","BIOCARTA_FCER1_PATHWAY",139.285147059046,0
"20","BIOCARTA_FIBRINOLYSIS_PATHWAY",271.260929922984,0
"21","BIOCARTA_GH_PATHWAY",91.5916378068243,0
"22","BIOCARTA_GLEEVEC_PATHWAY",110.673883189045,0
"23","BIOCARTA_GSK3_PATHWAY",258.962015842677,0
"24","BIOCARTA_HDAC_PATHWAY",2.77140112112759,0.00286600428471692
"25","BIOCARTA_HIVNEF_PATHWAY",197.260995296027,0
"26","BIOCARTA_IGF1_PATHWAY",149.901165104555,0
"27","BIOCARTA_IGF1MTOR_PATHWAY",258.962015842677,0
"28","BIOCARTA_IL12_PATHWAY",135.462657294364,0
"29","BIOCARTA_IL17_PATHWAY",2.44536781932271,0.00737064264674759
"30","BIOCARTA_IL7_PATHWAY",242.455655345648,0
"31","BIOCARTA_INSULIN_PATHWAY",149.901165104555,0
"32","BIOCARTA_INTRINSIC_PATHWAY",320.855525321031,0
"33","BIOCARTA_KERATINOCYTE_PATHWAY",36.0944319898099,0
"34","BIOCARTA_MET_PATHWAY",233.1158944812,0
"35","BIOCARTA_MITOCHONDRIA_PATHWAY",212.949731609355,0
"36","BIOCARTA_MTOR_PATHWAY",258.962015842677,0
"37","BIOCARTA_NDKDYNAMIN_PATHWAY",245.448878692888,0
"38","BIOCARTA_NFAT_PATHWAY",101.180473228007,0
"39","BIOCARTA_NKCELLS_PATHWAY",211.535369186003,0
"40","BIOCARTA_NO2IL12_PATHWAY",3.40206670592391,0.000345266081503376
"41","BIOCARTA_NUCLEARRS_PATHWAY",107.0153889612,0
"42","BIOCARTA_PAR1_PATHWAY",138.804939464723,0
"43","BIOCARTA_PDGF_PATHWAY",198.558714329833,0
"44","BIOCARTA_PPARA_PATHWAY",21.0581759896742,0
"45","BIOCARTA_STATHMIN_PATHWAY",4.8763259297157,5.70338926438452e-07
"46","BIOCARTA_STRESS_PATHWAY",36.4022561181292,0
"47","BIOCARTA_TCAPOPTOSIS_PATHWAY",2.64835042304123,0.00413102233465334
"48","BIOCARTA_TCR_PATHWAY",118.588063632125,0
"49","BIOCARTA_TCRA_PATHWAY",3.40206670592391,0.000345266081503376
"50","BIOCARTA_TCYTOTOXIC_PATHWAY",3.5297617235807,0.000217679787619871
"51","BIOCARTA_TEL_PATHWAY",407.282870769326,0
"52","BIOCARTA_TFF_PATHWAY",132.103352511508,0
"53","BIOCARTA_THELPER_PATHWAY",2.64835042304123,0.00413102233465334
"54","BIOCARTA_TNFR1_PATHWAY",174.22570959665,0
"55","BIOCARTA_TOB1_PATHWAY",3.5297617235807,0.000217679787619871
"56","ccRCC",230.469151391452,0
"57","KEGG_ABC_TRANSPORTERS",233.943716146866,0
"58","KEGG_ACUTE_MYELOID_LEUKEMIA",137.215714442522,0
"59","KEGG_ADHERENS_JUNCTION",270.885413515207,0
