"","pathways","X2-score","X2_p-value"
"1","BIOCARTA_AGR_PATHWAY",115.101456806608,0
"2","BIOCARTA_BCR_PATHWAY",179.582623936333,0
"3","BIOCARTA_CSK_PATHWAY",5.21023418968148,9.61593580230049e-08
"4","BIOCARTA_CTLA4_PATHWAY",6.11655694702678,4.89927677635037e-10
"5","BIOCARTA_EGF_PATHWAY",198.558714329833,0
"6","BIOCARTA_FCER1_PATHWAY",139.285147059046,0
"7","BIOCARTA_HIVNEF_PATHWAY",197.260995296027,0
"8","BIOCARTA_IL17_PATHWAY",2.44536781932271,0.00723522401544252
"9","BIOCARTA_NFAT_PATHWAY",101.180473228007,0
"10","BIOCARTA_PDGF_PATHWAY",198.558714329833,0
"11","BIOCARTA_TCAPOPTOSIS_PATHWAY",2.64835042304123,0.00406391414368064
"12","BIOCARTA_TCR_PATHWAY",118.588063632125,0
"13","BIOCARTA_THELPER_PATHWAY",2.64835042304123,0.00406391414368064
"14","BIOCARTA_TNFR1_PATHWAY",174.22570959665,0
"15","ccRCC",230.469151391452,0
"16","KEGG_ABC_TRANSPORTERS",233.943716146866,0
"17","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",324.98576583995,0
"18","KEGG_ALZHEIMERS_DISEASE",234.425787978256,0
"19","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",158.483624501299,0
"20","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",208.548983107266,0
"21","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",296.920579058878,0
"22","KEGG_APOPTOSIS",177.839149051166,0
"23","KEGG_ARACHIDONIC_ACID_METABOLISM",222.73748072216,0
"24","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",97.194201301676,0
"25","KEGG_AUTOIMMUNE_THYROID_DISEASE",148.706886092671,0
"26","KEGG_AXON_GUIDANCE",214.836389312385,0
"27","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",118.060537119283,0
"28","KEGG_CALCIUM_SIGNALING_PATHWAY",190.171717117601,0
"29","KEGG_CARDIAC_MUSCLE_CONTRACTION",234.623853572456,0
"30","KEGG_CELL_ADHESION_MOLECULES_CAMS",215.723015829422,0
"31","KEGG_CELL_CYCLE",223.582379138492,0
"32","KEGG_CHEMOKINE_SIGNALING_PATHWAY",141.990698810449,0
"33","KEGG_CITRATE_CYCLE_TCA_CYCLE",263.492930965556,0
"34","KEGG_COLORECTAL_CANCER",138.689661585945,0
"35","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",274.430712973831,0
"36","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",152.520507321331,0
"37","KEGG_DILATED_CARDIOMYOPATHY",202.542205654026,0
"38","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",20.5129294265934,0
"39","KEGG_ECM_RECEPTOR_INTERACTION",258.191070469749,0
